대업종,중업종,규모,총계,떨어짐,넘어짐,부딪힘,맞음,무너짐,끼임,절단베임찔림,감전,폭발파열,화재,깔림뒤집힘,이상온도물체접촉,빠짐익사,불균형및무리한동작,화학물질누출접촉,산소결핍,사업장내교통사고,사업장외교통사고,체육행사,폭력행위,동물상해,기타,분류불능
제조업,식료품제조업,5인 ~ 9인,411,27,83,26,17,1,98,104,1,2,0,6,19,1,13,1,0,0,7,4,0,1,0,0
제조업,식료품제조업,10인 ~ 19인,573,38,122,32,16,2,134,150,3,2,1,4,30,0,22,0,0,0,13,2,1,1,0,0
제조업,식료품제조업,20인 ~ 29인,297,16,70,18,20,1,72,61,1,0,0,2,11,0,10,4,0,0,5,4,1,1,0,0
제조업,식료품제조업,30인 ~ 49인,412,27,95,21,18,2,109,82,0,0,2,3,20,0,14,4,0,0,8,5,1,1,0,0
제조업,식료품제조업,50인 ~ 99인,410,23,118,36,19,1,99,48,0,0,1,10,20,0,20,2,0,0,6,4,0,3,0,0
제조업,식료품제조업,100인 ~ 299인,414,23,119,40,11,1,125,30,0,2,0,7,20,1,19,3,0,0,3,10,0,0,0,0
제조업,식료품제조업,300인 ~ 499인,97,6,36,15,2,0,17,5,0,0,0,1,2,0,7,0,0,0,2,4,0,0,0,0
제조업,식료품제조업,500인 ~ 999인,55,4,11,5,1,3,19,3,1,0,0,1,2,0,3,0,0,0,0,2,0,0,0,0
제조업,식료품제조업,1000인 이상,22,1,13,3,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
제조업,섬유및섬유제품제조업,5인 미만,211,24,46,14,13,0,67,26,2,1,1,0,2,0,11,0,0,0,4,0,0,0,0,0
제조업,섬유및섬유제품제조업,5인 ~ 9인,123,16,31,8,9,1,31,13,1,0,1,2,4,0,2,0,0,0,3,1,0,0,0,0
제조업,섬유및섬유제품제조업,10인 ~ 19인,139,13,28,14,5,0,51,12,1,0,1,1,8,0,5,0,0,0,0,0,0,0,0,0
제조업,섬유및섬유제품제조업,20인 ~ 29인,58,6,12,3,6,1,19,3,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0
