epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.097,1.5419,8.91595,0.62789,1.74611,1.32819,0.79703,0.81441,0.86535,0.64492,0.47886,0.44306,0.35754,0.08839,1.17356,6.72712,0.4237,1.10437,1.20502,0.000415835,0.000415835,0.000415835
2,304.218,1.30302,6.45616,0.52527,1.11541,1.21338,0.82403,0.86594,0.90759,0.67804,0.52429,0.53001,0.43174,0.1264,1.1275,5.37481,0.38909,0.98446,1.17771,0.000816018,0.000816018,0.000816018
3,454.28,1.27729,5.50754,0.50255,1.04624,1.20877,0.82597,0.88007,0.91736,0.68461,0.59321,0.62064,0.51823,0.20323,1.09864,4.33841,0.37238,0.90387,1.16209,0.0011997,0.0011997,0.0011997
4,604.14,1.23556,4.79816,0.48038,0.98179,1.18866,0.8738,0.88537,0.93352,0.71362,0.71343,0.70889,0.63891,0.28756,1.00321,3.61007,0.35804,0.8182,1.13759,0.00117575,0.00117575,0.00117575
5,750.416,1.18858,4.26322,0.45258,0.92178,1.16588,0.87805,0.88543,0.93605,0.73095,0.77487,0.76009,0.7353,0.37575,0.95083,3.05036,0.34179,0.77759,1.11816,0.001151,0.001151,0.001151
6,899.11,1.1431,3.90141,0.42918,0.88197,1.14568,0.89132,0.88834,0.94195,0.73252,0.81678,0.80617,0.7935,0.4237,0.98188,2.74384,0.33319,0.74642,1.09447,0.00112625,0.00112625,0.00112625
7,1046.34,1.11057,3.6421,0.41143,0.85266,1.12449,0.88463,0.88074,0.94553,0.74402,0.81234,0.80178,0.788,0.4604,0.93089,2.58433,0.31596,0.72251,1.09113,0.0011015,0.0011015,0.0011015
8,1193.3,1.08584,3.47241,0.39471,0.83014,1.11887,0.8861,0.91362,0.95787,0.76653,0.82699,0.84079,0.82656,0.5035,0.88517,2.33325,0.31201,0.67883,1.06982,0.00107675,0.00107675,0.00107675
9,1341.06,1.0536,3.26805,0.38163,0.80049,1.10539,0.89409,0.89777,0.95604,0.77444,0.81944,0.8263,0.82361,0.5249,0.85651,2.24196,0.30212,0.66554,1.06463,0.001052,0.001052,0.001052
10,1485.3,1.03275,3.16992,0.37169,0.78281,1.0963,0.89535,0.90208,0.95779,0.77814,0.86053,0.86694,0.88497,0.54353,0.85046,2.1558,0.29697,0.66111,1.05663,0.00102725,0.00102725,0.00102725
11,1630.49,1.00998,3.02205,0.36445,0.76295,1.08184,0.92467,0.90289,0.9634,0.78545,0.88118,0.85956,0.88256,0.55295,0.85629,2.05207,0.29441,0.63155,1.0459,0.0010025,0.0010025,0.0010025
12,1776.67,0.99777,2.95392,0.35556,0.74851,1.07353,0.90788,0.91561,0.96721,0.79686,0.85589,0.85249,0.85595,0.57903,0.80239,1.98499,0.28606,0.62386,1.03003,0.00097775,0.00097775,0.00097775
13,1922.43,0.9886,2.84515,0.34972,0.73689,1.06803,0.92349,0.91093,0.96721,0.79007,0.86111,0.85563,0.85999,0.59009,0.8237,1.85407,0.28195,0.61957,1.03919,0.000953,0.000953,0.000953
14,2069.57,0.97678,2.76032,0.34392,0.73309,1.06828,0.92754,0.9139,0.97014,0.80334,0.85363,0.84479,0.83663,0.58321,0.80104,1.87826,0.27698,0.60203,1.02454,0.00092825,0.00092825,0.00092825
15,2213.77,0.95334,2.69746,0.33805,0.71529,1.05937,0.91363,0.91953,0.96489,0.79693,0.86278,0.86504,0.85651,0.59185,0.80258,1.79609,0.27561,0.60196,1.03053,0.0009035,0.0009035,0.0009035
16,2360.21,0.95804,2.66644,0.33398,0.71206,1.0571,0.91715,0.92129,0.97016,0.80995,0.86471,0.86643,0.86948,0.61477,0.7797,1.74533,0.26755,0.59342,1.01078,0.00087875,0.00087875,0.00087875
17,2507.64,0.93643,2.60496,0.3296,0.70162,1.05035,0.91312,0.92376,0.97242,0.81332,0.86756,0.88167,0.88175,0.63187,0.76068,1.68296,0.266,0.57357,1.00591,0.000854,0.000854,0.000854
18,2652.13,0.92307,2.51227,0.32574,0.68851,1.04027,0.91942,0.92295,0.97236,0.81736,0.87128,0.87574,0.87299,0.62833,0.76502,1.66992,0.26333,0.5758,1.00498,0.00082925,0.00082925,0.00082925
19,2798.06,0.90942,2.47851,0.32439,0.67778,1.03667,0.91805,0.92217,0.96947,0.8186,0.87568,0.88041,0.8819,0.6287,0.74595,1.63089,0.26005,0.55371,1.00305,0.0008045,0.0008045,0.0008045
20,2942.96,0.90492,2.43561,0.32097,0.67668,1.03321,0.92851,0.92314,0.97435,0.82573,0.89111,0.88956,0.9005,0.64918,0.73252,1.575,0.26135,0.54361,0.9943,0.00077975,0.00077975,0.00077975
21,3087.84,0.89359,2.3769,0.31897,0.66753,1.03084,0.9282,0.92893,0.973,0.82544,0.89324,0.89595,0.90448,0.65156,0.73232,1.51,0.25681,0.54689,0.9958,0.000755,0.000755,0.000755
22,3232,0.88312,2.31761,0.31548,0.65845,1.02033,0.9244,0.9304,0.97505,0.82791,0.88137,0.89032,0.89382,0.65594,0.73058,1.48742,0.2551,0.53548,0.99233,0.00073025,0.00073025,0.00073025
23,3380.59,0.87721,2.28365,0.30933,0.64676,1.01682,0.91741,0.92959,0.9761,0.83886,0.88009,0.89673,0.90133,0.66902,0.69636,1.45671,0.25117,0.52021,0.97764,0.0007055,0.0007055,0.0007055
24,3530.02,0.86492,2.24461,0.30912,0.64216,1.01563,0.91009,0.9331,0.97452,0.83779,0.8861,0.88059,0.89071,0.66745,0.70446,1.45436,0.25204,0.51788,0.98445,0.00068075,0.00068075,0.00068075
25,3678.04,0.86096,2.21882,0.30679,0.6387,1.01327,0.92537,0.93461,0.97433,0.83717,0.88112,0.89474,0.88635,0.6726,0.70381,1.40921,0.24913,0.51136,0.97469,0.000656,0.000656,0.000656
26,3824.9,0.85655,2.16398,0.3072,0.6333,1.00733,0.92637,0.93401,0.97662,0.84416,0.8885,0.89813,0.89418,0.68933,0.68902,1.35595,0.2487,0.50425,0.97388,0.00063125,0.00063125,0.00063125
27,3974.45,0.8466,2.13493,0.30295,0.62738,1.00674,0.9216,0.9378,0.97461,0.84029,0.88553,0.90317,0.9033,0.67953,0.68497,1.35141,0.24547,0.50345,0.97201,0.0006065,0.0006065,0.0006065
28,4123.07,0.83243,2.08741,0.30102,0.61424,1.00098,0.92711,0.92655,0.97799,0.84585,0.88496,0.89144,0.90168,0.69812,0.66631,1.30256,0.24504,0.49748,0.97013,0.00058175,0.00058175,0.00058175
29,4271.86,0.82338,2.06287,0.29686,0.61545,1.00174,0.92588,0.93991,0.97808,0.84817,0.87953,0.89216,0.88115,0.69698,0.67291,1.29186,0.24185,0.49334,0.97385,0.000557,0.000557,0.000557
30,4418.45,0.82159,2.0474,0.29799,0.61236,0.99767,0.93635,0.93321,0.9785,0.84847,0.905,0.90585,0.91604,0.69919,0.66474,1.26493,0.24031,0.48601,0.96836,0.00053225,0.00053225,0.00053225
31,4566.1,0.81033,1.99268,0.29228,0.59702,0.99351,0.92112,0.94537,0.9789,0.85535,0.89015,0.91028,0.91171,0.70899,0.65553,1.26052,0.24057,0.47679,0.95952,0.0005075,0.0005075,0.0005075
32,4713.9,0.80463,1.97823,0.29325,0.59485,0.98966,0.93449,0.94158,0.97885,0.85466,0.89135,0.90251,0.8955,0.70542,0.64983,1.2515,0.24041,0.47159,0.96067,0.00048275,0.00048275,0.00048275
33,4860.31,0.79358,1.93975,0.29401,0.59227,0.98969,0.9232,0.94191,0.97931,0.85469,0.88565,0.90439,0.90087,0.70747,0.64889,1.24006,0.23713,0.47593,0.95445,0.000458,0.000458,0.000458
34,5011.46,0.78706,1.90495,0.28888,0.5812,0.98388,0.92347,0.94331,0.98031,0.85913,0.89049,0.91021,0.90764,0.7138,0.64184,1.206,0.23727,0.46804,0.9537,0.00043325,0.00043325,0.00043325
35,5162.21,0.78328,1.88289,0.29183,0.57773,0.98101,0.92291,0.94403,0.97922,0.85704,0.88469,0.90634,0.89707,0.71929,0.63682,1.2023,0.23603,0.45662,0.9529,0.0004085,0.0004085,0.0004085
36,5312.19,0.77032,1.83889,0.28562,0.57204,0.9753,0.92346,0.95181,0.98088,0.8643,0.89002,0.9086,0.90356,0.71899,0.62462,1.17939,0.23336,0.45489,0.94594,0.00038375,0.00038375,0.00038375
37,5461.15,0.76488,1.83994,0.28648,0.56737,0.97374,0.94232,0.93471,0.98129,0.86425,0.89837,0.89758,0.89984,0.72615,0.62547,1.16073,0.23453,0.44665,0.94728,0.000359,0.000359,0.000359
