epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.231,0.98322,1.68436,1.08631,0.81632,0.82707,0.87774,0.66192,0.77419,1.05684,0.9829,0.000415833,0.000415833,0.000415833
2,287.76,0.85974,0.9679,1.02946,0.78673,0.87759,0.91145,0.68664,0.75885,0.82085,0.97722,0.000816016,0.000816016,0.000816016
3,426.857,0.82968,0.81813,1.01966,0.85753,0.85938,0.91744,0.71217,0.71326,0.70049,0.95859,0.0011997,0.0011997,0.0011997
4,565.732,0.79153,0.75324,1.00487,0.8631,0.89108,0.93876,0.76112,0.64137,0.61435,0.93035,0.00117575,0.00117575,0.00117575
5,704.733,0.74673,0.7012,0.98685,0.88547,0.89064,0.93813,0.76839,0.61521,0.59649,0.91828,0.001151,0.001151,0.001151
6,842.97,0.72537,0.66931,0.97933,0.89661,0.89196,0.94782,0.79335,0.57786,0.52507,0.90112,0.00112625,0.00112625,0.00112625
7,981.671,0.69566,0.64412,0.96228,0.91594,0.90034,0.959,0.81182,0.54005,0.51849,0.88656,0.0011015,0.0011015,0.0011015
8,1120.54,0.67671,0.61508,0.95652,0.91465,0.90389,0.95822,0.81253,0.54402,0.49315,0.88681,0.00107675,0.00107675,0.00107675
9,1258.81,0.66353,0.59391,0.94953,0.91598,0.91005,0.95979,0.80262,0.54363,0.50338,0.89195,0.001052,0.001052,0.001052
10,1400.71,0.64498,0.58046,0.9396,0.91085,0.91319,0.95742,0.81733,0.51839,0.46977,0.88224,0.00102725,0.00102725,0.00102725
11,1543.58,0.63497,0.5655,0.93705,0.91049,0.93422,0.96611,0.83549,0.49445,0.44208,0.86261,0.0010025,0.0010025,0.0010025
12,1690.48,0.62005,0.55312,0.93242,0.92452,0.92272,0.96878,0.83615,0.49435,0.43558,0.8679,0.00097775,0.00097775,0.00097775
13,1833.94,0.61213,0.54496,0.93076,0.91641,0.92567,0.96492,0.83129,0.50096,0.44942,0.87355,0.000953,0.000953,0.000953
14,1984.39,0.60382,0.53758,0.92754,0.9288,0.92572,0.97234,0.84669,0.47763,0.41518,0.85744,0.00092825,0.00092825,0.00092825
