epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.041,0.51158,1.0859,0.87444,0.99364,0.99154,0.99494,0.9502,0.28517,0.53761,0.79215,0.000475145,0.000475145,0.000475145
2,225.041,0.34131,0.43565,0.82033,0.99763,0.99876,0.995,0.95481,0.27276,0.32417,0.78771,0.00093264,0.00093264,0.00093264
3,333.633,0.31789,0.3194,0.81782,0.99814,0.99788,0.99499,0.96297,0.2546,0.2509,0.78246,0.00137127,0.00137127,0.00137127
4,442.149,0.28736,0.27486,0.80996,0.99771,0.99781,0.995,0.97584,0.2141,0.21974,0.77762,0.00134412,0.00134412,0.00134412
5,549.126,0.26829,0.24857,0.80647,0.99833,0.99873,0.995,0.97734,0.20476,0.19279,0.77389,0.00131582,0.00131582,0.00131582
6,657.857,0.25285,0.23461,0.80358,0.99845,0.99754,0.995,0.97972,0.1929,0.18517,0.77159,0.00128753,0.00128753,0.00128753
7,766.084,0.23448,0.21833,0.8,0.99893,0.99937,0.995,0.98259,0.17757,0.17214,0.7715,0.00125923,0.00125923,0.00125923
8,875.927,0.23161,0.20861,0.79847,0.99882,0.99882,0.995,0.98482,0.16353,0.15374,0.76785,0.00123094,0.00123094,0.00123094
9,984.055,0.21838,0.19942,0.79648,0.99934,0.99961,0.995,0.98415,0.17288,0.15583,0.7704,0.00120265,0.00120265,0.00120265
10,1093.82,0.21946,0.20129,0.79778,0.99881,0.99899,0.995,0.98529,0.16335,0.157,0.76844,0.00117435,0.00117435,0.00117435
11,1204.19,0.21419,0.19308,0.79668,0.99831,0.99843,0.995,0.98391,0.16304,0.14954,0.77305,0.00114606,0.00114606,0.00114606
12,1315.44,0.2044,0.18488,0.79613,0.99902,0.99914,0.99499,0.9853,0.15551,0.15179,0.76785,0.00111776,0.00111776,0.00111776
13,1425.46,0.20056,0.18462,0.79464,0.99919,0.99995,0.995,0.98619,0.14541,0.1359,0.76649,0.00108947,0.00108947,0.00108947
14,1534.96,0.1975,0.17803,0.79568,0.9996,0.99918,0.995,0.98512,0.14747,0.13527,0.76467,0.00106118,0.00106118,0.00106118
15,1642.93,0.18566,0.16946,0.79303,0.99888,0.99884,0.995,0.9867,0.14528,0.13283,0.76547,0.00103288,0.00103288,0.00103288
16,1752.45,0.18839,0.17236,0.79333,0.99916,0.99956,0.995,0.98772,0.13588,0.12516,0.76615,0.00100459,0.00100459,0.00100459
17,1861.16,0.1841,0.16773,0.79232,0.99947,0.99918,0.995,0.98634,0.14118,0.13484,0.76549,0.000976293,0.000976293,0.000976293
18,1971.13,0.18164,0.16578,0.79316,0.99736,1,0.995,0.98735,0.13124,0.12422,0.76301,0.000947999,0.000947999,0.000947999
19,2079.52,0.17472,0.15861,0.79147,0.99957,0.99941,0.995,0.98693,0.13469,0.12226,0.76182,0.000919704,0.000919704,0.000919704
20,2186.6,0.17599,0.16102,0.79289,0.99958,0.99932,0.995,0.98853,0.12641,0.11901,0.76339,0.00089141,0.00089141,0.00089141
21,2292.46,0.17122,0.15646,0.79225,0.9993,0.99981,0.995,0.98775,0.12365,0.11314,0.76139,0.000863116,0.000863116,0.000863116
22,2399.17,0.16734,0.15228,0.78969,0.99794,0.99896,0.995,0.98872,0.12261,0.11556,0.76108,0.000834822,0.000834822,0.000834822
23,2506.44,0.1652,0.15323,0.79157,0.99915,0.99968,0.995,0.98858,0.12107,0.11267,0.76142,0.000806528,0.000806528,0.000806528
24,2611.72,0.16456,0.15078,0.79038,0.99933,0.99859,0.995,0.98826,0.11742,0.10878,0.76181,0.000778233,0.000778233,0.000778233
25,2718.2,0.16156,0.14659,0.7897,0.99934,0.9998,0.995,0.98937,0.11065,0.10192,0.76041,0.000749939,0.000749939,0.000749939
26,2824.52,0.15734,0.14698,0.78962,0.99961,0.9992,0.995,0.98811,0.11354,0.10391,0.76007,0.000721645,0.000721645,0.000721645
27,2930.46,0.15405,0.14187,0.78749,0.99899,0.99913,0.995,0.98939,0.1105,0.10101,0.75989,0.000693351,0.000693351,0.000693351
28,3036.12,0.14925,0.13839,0.7889,0.99852,0.99921,0.995,0.98828,0.11376,0.10299,0.75943,0.000665057,0.000665057,0.000665057
29,3141.5,0.15116,0.13808,0.78764,0.99921,0.99967,0.995,0.9893,0.10531,0.09441,0.75767,0.000636762,0.000636762,0.000636762
30,3247.97,0.14898,0.13586,0.78823,0.99986,0.99968,0.995,0.98984,0.10642,0.09857,0.7588,0.000608468,0.000608468,0.000608468
31,3353.66,0.14512,0.13267,0.78637,0.9999,0.99899,0.995,0.98948,0.10624,0.09741,0.7588,0.000580174,0.000580174,0.000580174
32,3458.84,0.14225,0.13077,0.78722,0.99925,0.9992,0.995,0.98974,0.10224,0.09228,0.75832,0.00055188,0.00055188,0.00055188
33,3565.36,0.13906,0.12586,0.78642,0.99975,0.999,0.995,0.99013,0.10017,0.0911,0.75841,0.000523586,0.000523586,0.000523586
34,3671.08,0.13862,0.12811,0.78635,0.99917,0.99968,0.995,0.9898,0.10147,0.09194,0.76074,0.000495291,0.000495291,0.000495291
35,3778.5,0.13719,0.12757,0.78725,0.99965,0.99968,0.995,0.98983,0.09819,0.08942,0.7569,0.000466997,0.000466997,0.000466997
36,3885.88,0.13589,0.12629,0.78653,0.99953,0.99904,0.995,0.9898,0.09901,0.08932,0.75766,0.000438703,0.000438703,0.000438703
37,3993.4,0.13009,0.12118,0.78706,0.99986,0.99909,0.995,0.99026,0.09757,0.0867,0.75955,0.000410409,0.000410409,0.000410409
38,4098.44,0.13176,0.12144,0.78754,0.99929,0.99909,0.995,0.99029,0.09522,0.08526,0.75932,0.000382115,0.000382115,0.000382115
39,4203.54,0.12867,0.11825,0.78456,0.99926,0.99941,0.995,0.99036,0.09502,0.0853,0.75646,0.00035382,0.00035382,0.00035382
40,4308.07,0.12478,0.11563,0.78557,0.99921,0.99942,0.995,0.99032,0.09287,0.08266,0.75738,0.000325526,0.000325526,0.000325526
41,4409.26,0.12236,0.10614,0.76677,0.999,0.99968,0.995,0.98995,0.0957,0.08543,0.75646,0.000297232,0.000297232,0.000297232
42,4506.54,0.11809,0.10328,0.76608,0.99908,0.99917,0.995,0.99062,0.09538,0.08589,0.7566,0.000268938,0.000268938,0.000268938
43,4605.66,0.11698,0.10193,0.76301,0.99925,0.99973,0.995,0.99028,0.09517,0.08362,0.75763,0.000240644,0.000240644,0.000240644
44,4705.78,0.11323,0.09917,0.76472,0.99963,0.99933,0.995,0.99069,0.09296,0.08315,0.75832,0.000212349,0.000212349,0.000212349
45,4805.44,0.11029,0.09605,0.76575,0.99923,0.99944,0.995,0.99027,0.09042,0.07925,0.75864,0.000184055,0.000184055,0.000184055
46,4908.46,0.10738,0.0932,0.76246,0.9992,0.99934,0.995,0.99078,0.08938,0.07914,0.75638,0.000155761,0.000155761,0.000155761
47,5010.47,0.10301,0.08899,0.76285,0.99949,0.99949,0.995,0.9911,0.08821,0.07703,0.75564,0.000127467,0.000127467,0.000127467
48,5111.94,0.10119,0.08796,0.76467,0.99942,0.99968,0.995,0.99106,0.08778,0.0769,0.75646,9.91726e-05,9.91726e-05,9.91726e-05
49,5213.74,0.09767,0.08555,0.76343,0.99956,0.9994,0.995,0.99066,0.08538,0.07468,0.75465,7.08784e-05,7.08784e-05,7.08784e-05
50,5315.8,0.09517,0.08211,0.76414,0.99915,0.99965,0.995,0.99102,0.08413,0.07247,0.75447,4.25842e-05,4.25842e-05,4.25842e-05
